date,open,high,low,close,volume
2018-08-16,28700,29550,28600,28700,811636
2018-08-17,28950,29600,28850,29450,513932
2018-08-20,29450,29800,29100,29350,355812
2018-08-21,29600,30100,29250,29350,787860
2018-08-22,29250,29650,29000,29200,270639
2018-08-23,29450,29850,29400,29750,385626
2018-08-24,29950,29950,29250,29650,227975
2018-08-27,29650,29750,28850,28900,362093
2018-08-28,28950,29450,28800,29150,362172
2018-08-29,28900,29150,28200,28400,587654
2018-08-30,28450,28800,28300,28600,370483
2018-08-31,28900,29000,28400,28950,337607
2018-09-03,28850,28900,28350,28500,268844
2018-09-04,28500,28550,28100,28500,194947
2018-09-05,28300,28800,28150,28450,337466
2018-09-06,28350,29050,28200,28500,375704
2018-09-07,28750,28800,28250,28400,391052
2018-09-10,28100,28400,28000,28050,236295
2018-09-11,27800,28200,27800,27950,144360
2018-09-12,27950,28000,26850,27000,823186
2018-09-13,27200,27350,27000,27000,853494
2018-09-14,27250,27750,27200,27600,352991
2018-09-17,27250,27750,27200,27450,240501
2018-09-18,27300,28050,27300,27850,424419
2018-09-19,27650,27950,27400,27900,475518
2018-09-20,27650,28000,27550,27800,353144
2018-09-21,28150,28800,27900,28450,724581
2018-09-27,28300,28650,28150,28350,459499
2018-09-28,28300,28850,28300,28700,386234
2018-10-01,29000,29000,28250,28250,309757
2018-10-02,28000,28000,27700,27750,263839
2018-10-04,27850,28300,27600,28100,365820
2018-10-05,27750,28550,27650,28450,378128
2018-10-08,28700,28700,28000,28300,243753
2018-10-10,28400,28700,28150,28700,379025
2018-10-11,28200,28700,27800,28150,800043
2018-10-12,28200,28250,27100,27450,616431
2018-10-15,27350,28500,27200,28450,449563
2018-10-16,28500,29300,28500,28800,452760
2018-10-17,29000,29700,28650,29550,646516
2018-10-18,29600,29950,29450,29600,373299
2018-10-19,29500,29700,29200,29450,281287
2018-10-22,29500,30150,28600,30150,389710
2018-10-23,30050,30200,29500,29800,326012
2018-10-24,30100,30100,29200,29600,398106
2018-10-25,29550,29550,28750,29300,512744
2018-10-26,29200,29350,28350,28600,398212
2018-10-29,28650,28750,27950,28150,422885
2018-10-30,28500,28550,27300,27950,490670
2018-10-31,27450,28800,27400,28700,528123
2018-11-01,28600,28650,27500,28000,568423
2018-11-02,28000,28900,27950,28500,348430
2018-11-05,28400,28750,28150,28700,289989
2018-11-06,28350,28750,28350,28700,269992
2018-11-07,28700,29350,28700,28850,382297
2018-11-08,29100,29950,28900,29150,538394
2018-11-09,29400,30500,29350,30100,855148
2018-11-12,29950,30050,28500,29450,1135111
2018-11-13,29000,29900,29000,29850,548011
2018-11-14,30000,30150,29600,30150,592926
2018-11-15,30250,30450,29950,30150,249097
2018-11-16,30300,30550,29750,30100,321291
2018-11-19,30100,30400,29850,30250,275594
2018-11-20,30350,30500,29800,30100,384438
2018-11-21,30000,30150,29350,30050,382274
2018-11-22,30350,31000,30200,30600,768654
2018-11-23,30600,30750,29900,30150,286092
2018-11-26,30200,30600,30000,30150,372895
2018-11-27,30200,30600,30100,30200,380990
2018-11-28,30050,30500,29600,30350,954175
2018-11-29,30700,32500,30450,32350,1455692
2018-11-30,32400,32700,31850,32250,985007
2018-12-03,32250,32700,31800,31850,631006
2018-12-04,32000,32350,31900,32000,346837
2018-12-05,32050,32800,31850,32750,474382
2018-12-06,32900,33150,32550,32950,527264
2018-12-07,33200,33200,32450,32750,294951
2018-12-10,32000,33100,32000,32950,369492
2018-12-11,32950,33300,32650,33300,319448
2018-12-12,33500,33500,32750,32950,403711
2018-12-13,33100,34250,32950,34250,886372
2018-12-14,34000,34000,32600,32650,512360
2018-12-17,32900,33400,32500,32850,350520
2018-12-18,33000,33300,32700,32900,690725
2018-12-19,33100,33450,32550,33200,332718
2018-12-20,33350,33500,32700,33500,439940
